question_no,question,correct_option,correct_answer,option_a,option_b,option_c,option_d
13,"According to the provisions of the Bhartiya Nyaya Sanhita, 2023, the right of private defence of property extends to the voluntary causing of death or of any other harm to the wrong-doer in which of the offences committed or attempting to be committed?",C,(1) and (3) both,(1) only,(1) and (2) both,(1) and (3) both,"(1), (2) and (3)"
14,"Rajesh, in a heated argument with Sunil, strikes him with a heavy iron rod. The blow fractures Sunil's arm, and he is unable to use it for several weeks. The medical report confirms that the fracture amounts to grievous hurt. Which of the following offenses has Rajesh committed?",withdrawn,Question withdrawn,IPC की धारा 323 के तहत साधारण चोट पहुंचाना,IPC की धारा 325 के तहत जानबूझकर गंभीर चोट पहुंचाना,IPC की धारा 324 के तहत जानबूझकर चोट पहुंचाना,IPC की धारा 308 के तहत गैर इरादतन हत्या करने का प्रयास
15,"Amit, intending to cause the death of Vijay, attacks him with a knife. Vijay sustains severe injuries and dies on the spot. The investigation reveals that Amit acted with the knowledge that his actions were likely to cause death. However, there is no evidence of premeditation or intent to murder Vijay. Which of the following offenses has Amit committed?",B,Culpable homicide not amounting to murder under Section 304 of IPC,Murder under Section 302 of IPC,Culpable homicide not amounting to murder under Section 304 of IPC,Causing death by negligence under Section 304A of IPC,Voluntarily causing grievous hurt under Section 325 of IPC
16,"Amit and Rani decide to break into a house at night with the intent of stealing valuables. They use a crowbar to force open the door, but before they can take anything, the owner of the house, Vikram, unexpectedly arrives home. Amit and Rani panic and run away without stealing anything. The police arrest them the following morning based on a complaint from Vikram. Which of the following offenses under the BNS have Amit and Rani committed?",B,House trespass with intent to commit theft,Attempt to commit theft,House trespass with intent to commit theft,Attempt to commit robbery,Burglary
17,Punishment for rape in cases where the victim is a woman below the age of 16 or 12 is included in which section of the BNS?,B,65,64,65,63,72
18,A new offense of 'Snatching' has been introduced by the BNS. Which section of the BNS defines 'Snatching' as an offense?,D,304,308,303,305,304
19,"Consider the following statements and answer the question given below: Mr. Patel being a police officer receives a complaint and information that Raju was involved in a robbery of bank and has also helped to hide the valuable properties in his farm, as stated by two villagers. With this regard, consider the following: The Police Officer Mr. Patel may arrest Raju without warrant when – (1) Raju can be arrested only if he commits a non-cognizable offence in the presence of Mr. Patel. (2) Since the reasonable complaint against Raju has been received and there is a strong suspicion exists due to the testimony of villagers, he can be immediately arrested. (3) Raju can be arrested only when he tries to escape or run away. (4) Raju can be arrested so as to prevent him from making any inducement, threat or promise to any person acquainted with facts and circumstances. Which of the above is/are the correct statement?",B,(2) and (4),(1) and (3),(2) and (4),Only (4),Only (2)
20,BNSS introduced the provision of registration of FIR relating to commission of cognizable offense irrespective of area where the offense is committed. This FIR is known as _______.,B,Zero FIR,NCR,Zero FIR,False FIR,Counter FIR
21,The BNSS mandates a forensic team to visit the crime scenes to collect evidence for offenses punishable with imprisonment for at least _______ years.,C,7,2,4,7,5
22,Which section of the BNSS allows for trials in absentia of proclaimed offenders?,C,356,251,349,356,366
23,Which section of BNSS facilitates trials and proceedings to be held in electronic mode?,D,530,532,330,430,530
24,"Which section of BNSS repeals the Code of Criminal Procedure, 1973?",A,531,531,101,2,1
25,Which section mandates State Government prepare and notify a witness protection scheme for the state with a view to ensure the protection of witnesses?,withdrawn,Question withdrawn,98,198,298,398
26,Which section of BNSS mandates the appointment of a designated police officer in each district and police station to provide information about arrested individuals to the general public?,C,37,25,35,37,45
27,"Which section of BNSS introduces provisions for identifying, attaching, and forfeiting the property of proclaimed offenders located outside India?",D,86,74,76,84,86
28,"Which section of BNSS places restrictions on the adjournment of trials, ensuring the expeditious resolution of cases?",C,346,146,246,346,356
29,"A suit is pending in District Court A, but one of the parties, Meera, requests its transfer to District Court B, claiming that the judge in Court A is biased. The opposing party, Ravi, objects, stating that the request is baseless. Who has the authority to decide whether the suit can be transferred?",B,The High Court or the Supreme Court,The District Court A where the suit is currently pending.,The High Court or the Supreme Court,The Civil Judge in District Court B,A committee of local advocates
30,"Maya files a suit in Court A for the recovery of a sum of money from her neighbour, Neha. During the proceedings, Neha requests that a third party, Seema, be added to the suit, as Seema is allegedly liable for the debt. Maya objects, claiming that Seema is not a necessary party. Court A then reviews the application and decides that Seema should indeed be included as a defendant. Which principle of the CPC is applied in this situation?",A,"Order 1, Rule 10 – Joinder and Substitution of Parties","Order 1, Rule 10 – Joinder and Substitution of Parties","Order 7, Rule 11 – Rejection of Plaint",Order 5 – Service of Summons,"Order 6, Rule 17 – Amendment of Pleadings"
31,Which section of the CPC allows for the appeal from original decrees?,A,Section 96,Section 96,Section 100,Section 115,Section 104
32,"Under the CPC, what is the maximum time limit for filing a written statement in a suit?",D,90 Days,30 Days,60 Days,120 Days,90 Days
33,Which section of the CPC provides exemption of the President of India and the Governors of states from personal appearance in court?,B,Section 133,Section 132,Section 133,Section 128,Section 130
34,What is the term used for a court's power to transfer a case from one court to another under the Code of Civil Procedure?,D,Transfer of suits,Res Judicata,Reference,Review,Transfer of suits
35,Under which order of the CPC the procedure for summary suits is provided?,B,Order XXXVII,Order XXXV,Order XXXVII,Order XXXIV,Order XXXVI
36,Which section of the CPC deals with the principle of 'res judicata'?,A,Section 11,Section 11,Section 10,Section 12,Section 9
37,_________ of the CPC provides for an interpleader suit.,A,Section 88,Section 88,Section 89,Section 92,Section 86
38,Which section of the CPC provides for the payment of compensatory costs?,B,Section 35 (A),Section 35,Section 35 (A),Section 35 (B),Section 36
39,Which word is inserted in Section 22 of the BSA that was not present in Section 24 of the Evidence Act?,B,Coercion,Inducement,Coercion,Threat,Promise
40,Existence of course of business when relevant is discussed in __________.,C,"Section 14 of the BSA, 2023","Section 12 of the BSA, 2023","Section 13 of the BSA, 2023","Section 14 of the BSA, 2023","Section 15 of the BSA, 2023"
41,"In a criminal trial, Rajesh is accused of theft. During the investigation, the police recover a stolen laptop from a location known to be frequented by Rajesh. His fingerprints are found on the laptop. According to the Bharatiya Sakshya Adhiniyam, 2023, how should the court interpret this piece of evidence?",B,"The recovered laptop and fingerprints are circumstantial evidence that can be considered along with other evidence, but do not by themselves prove guilt beyond reasonable doubt.",The recovered laptop and fingerprints are automatically considered conclusive proof of Rajesh's guilt.,"The recovered laptop and fingerprints are circumstantial evidence that can be considered along with other evidence, but do not by themselves prove guilt beyond reasonable doubt.",The evidence is inadmissible because the police did not obtain a search warrant before recovering the laptop.,The fingerprints must be verified by at least two independent forensic experts before being presented in court.
42,"Where a document is executed in several parts like printing, lithography or photography, video recording, computer resource as a electronic or digital records, the BSA 2023 classifies each part as a",A,Primary evidence,Primary evidence,Secondary evidence,Circumstantial evidence,Scientific evidence
43,Which section of BSA provides that no court shall require any communication between the Ministers and the President of India to be produced before it?,B,165,65,165,268,168
44,C,The officer's signature is assumed to be forgery,The officer did not hold the claimed officer character at the time of signing,The officer held the official character claimed when signing or certifying the document,The document's authenticity is independent of the official's official character,,
45,"Under Section 146 of the BSA 2023, when the leading questions are permissible in the court proceedings?",D,Leading questions are always allowed during examination- in chief without restriction.,Leading questions are not allowed during cross-examination,"Leading questions can be asked in an examination-in chief, re-examination, cross-examination without any objection.","Leading questions are permitted during cross-examination and when matters are introductory, undisputed, or sufficiently proved.",
46,Which of the following is a characteristic of mediation?,B,The mediator imposes a binding decision.,It involves a neutral third party who facilitates negotiation between the parties.,The mediator acts as a judge and renders a verdict.,It is always court-ordered.,
47,"A dispute arises between ABC Ltd. and XYZ Pvt. Ltd. regarding a contract that both parties had entered into. The agreement includes an arbitration clause, which states that any disputes shall be referred to arbitration. However, the parties fail to agree on the appointment of an arbitrator. Which of the following provisions of the Arbitration and Conciliation Act, 1996 would be applicable to resolve the issue of the appointment of an arbitrator?",A,The court will appoint an arbitrator under Section 11 if the parties fail to agree on one.,"The parties must mutually select an arbitrator, and if they fail, the arbitration will not take place.",The arbitrator must be appointed by the Indian Council of Arbitration (ICA) in all cases.,The parties can resolve the appointment issue by opting for conciliation instead of arbitration.,
48,Which of the following is not an advantage of using ADR?,C,It is generally faster than litigation.,It offers more confidentiality than traditional court cases.,It always results in a binding decision.,It is often less expensive than court proceedings.,
49,"Kiran and Meera are involved in an arbitration, where Kiran was awarded Rs. 10 lakhs as compensation. Meera refuses to pay the amount, arguing that the award was not enforceable because of certain procedural irregularities in the arbitration process. Kiran decides to approach the court to enforce the arbitral award. Which of the following provisions of the Arbitration and Conciliation Act, 1996 governs the enforcement of an arbitral award?",B,Section 34 of the Act deals with the enforcement of an arbitral award.,Section 36 of the Act allows for the automatic enforcement of an arbitral award unless set-aside by the court.,Section 9 of the Act governs the enforcement of arbitral awards.,"Section 11 of the Act deals with the enforcement of arbitral awards, not the appeal.",
50,Which sections discusses with regard to 'sapinda relationships' under the Hindu Marriage Act 1955?,D,"Sections 3(f) (i), 5(v)","Sections 3(f) (i), 5(iv)","Sections 3(f) (i) & (ii), Explanation to section 3 (g), 5(iv)","Sections 3(f) (i) & (ii), Explanation to section 3 (g), 5(v)",
51,"Under Section 15 of Hindu Marriage Act, 1955 the divorced person, to marry again _____",withdrawn,have to wait for a period of one year from the date of the decree.,have to wait for a period of six month from the date of the decree.,may marry immediately thereafter without the leave of the court as a matter of right.,None of these,
52,"Aarti and Rajesh have been married for five years. Over time, Aarti has been subjected to continuous cruelty by Rajesh, which has led to emotional and mental distress. Aarti decides to file for divorce on the grounds of cruelty under Section 13(1)(ia) of the Hindu Marriage Act, 1955. Which of the following statements is true regarding the grounds for divorce under the Hindu Marriage Act?",B,Aarti can only seek divorce on the grounds of adultery.,"Aarti can seek divorce on the grounds of cruelty, as long as she proves mental or physical cruelty.",Aarti cannot seek divorce on the grounds of cruelty as it is not recognized under the Hindu Marriage Act.,Aarti must prove Rajesh's cruelty was intentional to succeed in the divorce petition.,
53,"On matters where Dayabhaga is silent, what prevails?",D,The local customs,The Smritis,The Shrutis,Mitakshara,
54,"Nisha and Aakash are separated, and they both seek custody of their minor child, Aarav. Nisha has been the primary caregiver, while Aakash claims that he can provide better financial stability for Aarav. They both approach the court under the Guardian and Wards Act, 1890. Which of the following factors will the court primarily consider in determining the custody of Aarav?",C,The financial stability of both parents.,The gender of the child.,The welfare and best interests of the child.,The parent who is financially more stable is granted custody automatically.,
55,"Match the following: 
a. Spoken words
b. Deepika vs. CAT
c. Silence
d. Ass Kaur vs. Kartar Singh
e. Shayara Bano vs. UOI",C,"a-i, b-ii, c-iii, d-iv, e-vi","a-iii, b-ii, c-i, d-v, e-vi","a-i, b-iv, c-iii, d-ii, e-v","a-iii, b-iv, c-i, d-ii, e-vi",
56,"Fatima, a Muslim woman, has been divorced by her husband, Imran, through Talaq. Fatima is now seeking maintenance from Imran for herself and her two minor children. Imran argues that Fatima has remarried and, therefore, is not entitled to any maintenance. Under Muslim law, which of the following statements is true regarding Fatima's claim for maintenance?",withdrawn,Fatima is not entitled to maintenance because she has remarried.,Fatima is entitled to maintenance only for a period of three months after the divorce.,Fatima is entitled to maintenance for herself during her iddat period and for her children until they are self-supporting.,"Fatima can claim maintenance for herself and her children indefinitely, irrespective of her remarriage or the children's age.",
57,"The remedy of restitution of conjugal rights is given in Section _____ of Hindu Marriage Act, 1955.",D,13,11,6,9,
58,"In which case a prison inmate sent a letter to the Supreme Court, describing physical torture, which became a pioneer in public interest litigation, though the court later abandoned the practice of considering letters?",B,Hussainara Khatoon vs. Bihar case,Sunil Batra vs. Delhi Administration,Mukti Morcha vs. Union of India,The Narasimha Rao case,
59,"In the early 1980s, a social activist group discovered severe exploitation of labourers working in stone quarries near Delhi. The workers, including many children, were working in extremely hazardous conditions, living in makeshift shelters, and were effectively trapped in a cycle of debt and forced labour. The conditions revealed systematic violations of fundamental human rights. The Supreme Court was approached to look into the dire circumstances of the working persons there and one of the following views of the Court was sustained in the said case, identify from the following-",C,The Court established that the right to free legal aid is a mere directive principle and cannot be enforced as a fundamental right.,The judgment primarily focused on providing monetary compensation to the affected labourers without addressing systemic issues of bonded labour.,The Supreme Court recognized the right against forced labour as a fundamental right derived from the right to life and human dignity under Article 21.,"The Court ruled that only government agencies, and not social activists, could file petitions concerning labour rights.",
60,"Read the given statements and choose the correct option.
Statement 1 : In PIL cases, the Court plays a passive role similar to traditional cases.
Statement 2 : PIL is primarily focused on individual disputes.",D,Both statements are true.,Only Statement 1 is true.,Only Statement 2 is true.,Both statements are false.,
61,"Given below are two statements, one labelled as Assertion (A) and the other labelled as Reason (R).
Assertion (A) : The concept of locus standi"" is relaxed in PIL cases.",,,,,,
62,,,,,,,
63," which one of the following is correct?""",A,"Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, and (R) is true.",
64,Which of the following best defines delegated legislation?,C,Legislation passed by local governments.,Laws enacted by Parliament or the Legislature.,Laws made by an administrative authority under powers given to them by Parliament.,A judicial decision made by an administrative tribunal.,
65,"In 2020 at Dhorodo village the Panchayat elections could not happen due to Covid pandemic while the tenure of the Panchayat was getting over that year itself. Mr. Haribansh, represented the people that year at the Panchayat post dissolution of the Panchayat tenure and made a law exercising the delegated power vide the Panchayatiraj Act of the state to restrict their economic activities per day to ₹ 100 only. In which of the following case this is allowed or restricted?",A,MCD vs. Birla Cotton Mills,Patna University vs. Amita Tiwari,Jalan Trading vs. Union of India,None of these,
66,"Which of the following is/are not ground/s for judicial review of administrative action?
(1) Illegality
(3) Proportionality
",D,Only (2),(2) and (4),"(1), (2) and (3)",Only (4),
67,What does 'conflict of interest' refer to in professional ethics?,D,A situation involving legal disputes,A situation where two professionals disagree,A conflict between ethics and laws,A situation where personal interests conflict with professional duties,
68,"Advocate Mr. X was representing a client, Mr. Y, in a property dispute case. During the proceedings, Advocate Mr. X accepted a bribe from the opposing party to delay the case, causing significant harm to Mr. Y's interests. Moreover, Mr. X failed to inform his client about critical hearing dates, leading to adverse judgments. On the basis of the above problem, select the correct option.",A,It is a violation of Rules made by the Bar Council of India for the professional ethics,"It is only an offence under the Prevention of Corruption Act, 2018","It amounts to criminal conspiracy under the Bhartiya Nyaya Sanhita, 2023","It amounts to the Contempt of Court under the Contempt of Courts Act, 1971",
69,The nature of proceedings in the cases of professional misconduct :,C,Only (3),Both (1) and (4),Only (3),"(1), (3) and (4)",
70,"Appropriate procedural safeguards help reduce threats to objectivity and counter any perception of possible bias, which of the following is/are not procedural safeguard/s?",withdrawn,Act in a fraudulent manner,"Providing peer-review of valuation, if necessary",Non-Disclosure of any prior association with the client,Non-Disclosure of any possible source of conflict of interest,
71,As per Section 2(84) Share means share in the share capital of a Company and includes,C,(1) and (2),"(1), (2) and (3)",Only (3),"(1), (2), (3) and (4)",
72,"Section 43 of the Companies Act, 2013 provides for _______.",B,Issue of Shares at Premium,Kinds of Shares Capital,Buy Back of Shares,Reduction in Share Capital,
73,"A manufacturing company in the city of Surat named as 'X' has been discharging untreated industrial waste into a nearby river, violating the provisions of the Environment Protection Act, 1986 and the Water (Prevention and Control of Pollution) Act, 1974. This has resulted in severe pollution, making the river water unsafe for drinking and harming aquatic life. Local farmers and residents, who rely on the river for irrigation and daily needs, have started facing health issues and crop failures due to the contaminated water. Despite multiple complaints to the local pollution control board, no action has been taken against the company. Based on the above problem, select the correct answer.",A,"It is the violation of Section 24 of the Water (Prevention and Control of Pollution) Act, 1974.","It is the violation of Section 40 of the Water (Prevention and Control of Pollution) Act, 1974.",It is not the violation of the provisions of the laws stated in the problem.,"It is the violation of Section 23 of the Water (Prevention and Control of Pollution) Act, 1974.",
74,Which of the following Acts is popularly known as Umbrella Legislation?,D,"The Water (Prevention and Control of Pollution) Act, 1974","The Air (Prevention and Control of Pollution) Act, 1981","The Factories Act, 1948","The Environment (Protection) Act, 1986",
75,"Which of the following is/are included under Section 2(1)(w) of the Information Technology Act, 2000 describing the Intermediary?",B,"(1), (2) and (3)","(1), (3) and (4)","(1), (2) and (4)","(1), (2), (3) and (4)",
76,"Malti, a small business owner, runs an online clothing store. Recently, she noticed that her website had been hacked, and her customers' personal information, including names, addresses, and payment details, was stolen. Shortly after, some of her customers reported unauthorized transactions on their accounts. Malti wishes to file a complaint against the incident. On the basis of the above problem select the correct option.",A,"It is punishable under Section 66 of the Information Technology Act, 2000.",It is punishable only under the criminal laws.,"It is punishable under Section 66 of the Information Technology Act, 2000 and the customers can also claim the compensation under certain circumstances.","The customers do not have any legal remedy under the Information Technology Act, 2000.",
77,"Which of the following is/are included under the definition of employer given under The Industrial Relations Code, 2020?",D,(4) Only,"(1), (3) and (4)","(1), (2) and (4)","(1), (2) and (3)",
78,"Which of the following legislations has been included under the Social Security Code, 2020?",C,Only (3),(3) and (4),"(1), (2) and (4)","(1), (2), (3) and (4)",
79,"_________ have not been set up under the provisions of the Industrial Disputes Act, 1947 for adjudication of industrial disputes in an organization.",B,Industrial Tribunals,Environmental Tribunals,Labour Courts,National Tribunal,
80,"XYZ Textiles Ltd., a manufacturing company, recently terminated 04 workers without providing any compensation. The termination was because of the misconduct on the part of the workers. The company issued a show cause notice and the disciplinary enquiry was also conducted against them. On the basis of the recommendations of the committee the services of these employees were terminated. The workers claimed the retrenchment compensation which was rejected by the management. Aggrieved by the rejection the workers have filed a complaint in the Labour Court under the provisions of the Industrial Disputes Act, 1947. Based on the above problem, select the correct answer.",A,"The termination does not amount to retrenchment, hence no compensation.","The termination amounts to lay-off, hence compensation will be awarded.","The termination amounts to retrenchment, hence compensation will be awarded.","The termination violated the provisions under the Industrial Disputes Act, 1947, hence the compensation will be awarded.",
81,"Ms J, a banker refuses to honour cheque of Ms F. Though she was having sufficient balance yet it doesn't suffer any loss to Ms F. Ms F can file the case under which scenario?",B,Volenti-non-fit-injuria,Injuria-sine-damnum,Damnum-sine-injuria,Res-ipsa- loquitur,
82,"Mr B told Mr A to leave the premises in occupation of Mr A. When Mr A refused then Mr B collected some of his workmen who mustered round Mr A. They tucking up their sleeves and aprons and threatened to break the plaintiff's neck, he did not leave. Under which tortious act, Mr A can file the case?",B,False Imprisonment,Assault,Battery,Hurt,
83,"Ms J knowing while taking the lift that driver Mr T was under the influence of alcohol. Consequently, car met with an accident and Ms J got injuries and she has filed the case for compensation. Which defence could be claimed by Mr T?",A,Volenti-non-fit-injuria,Act of God,Inevitable Accident,Act of Necessity,
84,Mr K is owner of a building containing a large number of rooms and had derived a considerable income by letting them. Mr Y is owner of an adjacent cotton mill which erected after the occupation by Mr K. Owing to noise and smoke of the mill several rooms remain vacated that results into loss for Mr K. Examine relevant tort for the case.,C,Damnum-sine-injuria,Trespass to land,Nuisance,Negligence,
85,"There was a collision between two buses, one owned by the government and another was a private bus. Wherein private bus was coming from wrong side and government bus was coming rashly, neither slowing down his bus after seeing the other bus. Determine the tortious act.",D,Private bus owner is negligent,Government bus owner is negligent.,Inevitable accident.,Contributory negligence.,
86,"The term 'Income' is described in the Income Tax Act, 1961 under _______.",A,Section 2 (24),Section 2(40),Section 3,Section 10E,
87,"Mr. X deposits ₹ 65,000 in the term deposit of 5 years with the Post Office to avail tax deduction under section 80C. Assuming Mr. X does not opt for concessional tax regime u/s 115BAC of the Income Tax Act, 1961. On the basis of the above problem, select the correct option.",B,Mr. X is guilty of tax evasion/tax avoidance.,Mr. X is not guilty of either tax evasion/tax avoidance.,No tax deduction can be availed under Section 80 C.,It is an unlawful act to treat a personal expenditure.,
88,"Read the given statements and choose the correct option: 
Statement 1: Agricultural income is exempt from tax under Section 10(1) of Income Tax Act, 1961. 
Statement 2: Tax on Non-Agricultural in case of Non-Agricultural Income exceeds Basic Exemption limit and Agricultural Income exceeds ₹ 5000/- is determined by Scheme of Partial Integration of Non-Agricultural Income with Agricultural Income.",D,Both the Statements are incorrect.,Only Statement 1 is true.,Only Statement 2 is true.,Both the Statements are correct.,
89,The concept of invalid guarantee is covered under Sections _______.,B,142-144,142-146,142-144,143-147,140-143
90,"Land Acquisition Act, 2013 in India has replaced which earlier legislation?",C,"Land Acquisition Act, 1894","Land Acquisition Act, 1956","Land Acquisition Act, 1862","Land Acquisition Act, 1894","Land Acquisition Act, 1874"
91,"The Section 12 of Hindu Maintenance and Adoption Act, 1956 deals with",D,Cancellation of adoption,Rights of adoptive parents to dispose of their properties,Effects of adoption,Presumption as to the document relating to adoption,Cancellation of adoption
92,Which of the following categories of cases will not be entertained as Public Interest Litigation (PIL)?,C,Neglected Children,Family Pension,Petitions from riot victims,Neglected Children,Landlord-Tenant matter
93,Who is known as Father of Public Interest Litigation in India?,B,Justice P. N. Bhagwati,Justice A. N. Ray,Justice P. N. Bhagwati,Justice R. S. Pathak,Justice Y. V. Chandrachud
94,Which of the following is not a real purpose of Public Interest Litigation?,D,Getting famous and making wealth,Vindication of the rule of law,Facilitate effective access to Justice,Meaningful realization of Fundamental Rights,Getting famous and making wealth
95,"In Hussainara Khatoon V. State of Bihar, _________ emerged as a basic fundamental right.",B,Right to Clean Environment,Right to Speedy Justice,Right to Clean Environment,Right to Free Legal Aid,None of these
96,Which of the following writ can be issued against usurpation of public office?,C,Writ of Quo Warranto,Writ of Mandamus,Writ of Certiorari,Writ of Quo Warranto,Writ of Prohibition
97,Ridge V. Baldwin's case deals with,D,Delegated Legislation,Corporation,Natural Justice,State Liability,Delegated Legislation
98,"Meaning of Audi alteram partem"":""",A,A person cannot be condemned without being heard,A person cannot be condemned without being heard,An adjudicating authority must give a speaking order,No man can be a judge in his own case,No one should fear the courts.
99,Rules made by Bar Council of India in exercising its rule making power under ___________.,D,The Advocates Act 1961,The Advocates Act 1951,The Advocates Act 1954,The Advocates Act 1961,The Advocates Act 1964
100,Which one of the following is not a ground of divorce in the Hindu Marriage Act?,D,Living separately for less than three months.,Mental Disorder,Venereal Disease in communicable form,Incurable Unsound Mind,Living separately for less than three months.
101,Indian Christians can obtain divorce under which of the following enactments?,B,Christian Marriage Act 1872,Indian Marriage Act 1954,Christian Marriage Act 1872,Indian Divorce Act 1869,Special Marriage Act 1872
102,If any advocate is aggrieved by an order of Disciplinary Committee of State Bar Council made under Section 35 of the Advocate Act or Advocate General of the State may prefer appeal to the Bar Council of India within _____ days of the date of communication of order.,C,60,30,45,60,90
103,ABC Private Limited Company choose to convert itself into a Public Company. It can do so by altering its Memorandum of Association and Articles of Association and by passing _________.,B,Special Resolution,Ordinary Resolution,Special Resolution,Board Resolution,None of these
104,'Doctrine of lifting of or piercing the corporate veil' is associated with,B,Company Law,Labour Law,Company Law,Banking Law,Service Law
105,"Under which Section of The Environment (Protection) Act, 1986, an appeal to National Green Tribunal (NGT) lies?",B,Section 5A,Section 4A,Section 5A,Section 6A,Section 7A
106,Which one of the following Fundamental Duties relates to Environmental Protection?,B,Article 51A (g),Article 51A (b),Article 51A (g),Article 51A (j),Article 51A (k)
107,"Mr. A who was aggrieved by an order made by Controller or an adjudicating officer, made an appeal to Cyber Appellate Tribunal. Later Mr. A aggrieved by an order of Cyber Appellate Tribunal, may prefer an appeal _________.",C,Only in High Court,In any District Court,In Higher Tribunal,Only in High Court,Only in Supreme Court
108,"Mr. X, a person who is intended by Mr. Y an originator to receive the electronic record under the IT Act, known as_________.",B,Originators Agent,Intermediary,Originators Agent,Addressee,Key Holder
109,The minimum number of members required for registration of a trade union is-,C,7,2,3,7,5
110,The text of the Certified Standing Orders shall be prominently posted by the employer in _________ and in the language understood by the majority of his workmen.,C,Devanagari Script,Hindi,English,Devanagari Script,Language specified in 8th Schedule of the Constitution
111,"An advocate may, while practicing, take up teaching of Law in any educational institution which is affiliated to a University, so long as the hours during which he is so engaged in the teaching of Law do not exceed ________ hours in a day.",C,3,5,3,2,4
112,In which of the following landmark case the advocate was held guilty of professional misconduct as he had forged the court order?,A,Pratap Narain V. Y. P. Raheja,Pratap Narain V. Y. P. Raheja,Vikramaditya V. Smt. Jamila Khatoon,Babulal Jain V. Subhash Jain,Smt. P. Pankajam V. B. H. Chandrashekhar
113,"Suppose road accident occurs, then being an Advocate what is the correct way of approaching the situation?",B,Petition > FIR > Summon to Insurance Company,FIR > Petition > Summon to Insurance Company,Petition > FIR > Summon to Insurance Company,Summon to Insurance Company > Petition > FIR,FIR > Summon to Insurance Company > Petition
114,"The principle of Ubi jus ibi idem remedium"" was recognized in""",B,Chapman V. Pickersgill,Winterbottom V. Wright,Chapman V. Pickersgill,Ashby V. White,Rylands V. Fletcher
115,Gloucester Grammar School Case is a landmark case based on which of the following maxim?,B,Injuria sine damnum,Damnum sine injuria,Injuria sine damnum,Volenti non fit injuria,Audi alteram partem
116,"The National Consumer Disputes Redressal Commission under Consumer Protection Act, 2019 shall have the jurisdiction to complaints where the value of the goods or services paid as consideration exceeds ₹ _________.",C,50 Crores,1 Crore,10 Crores,50 Crores,100 Crores
117,"Under Section 41 of Consumer Protection Act, 2019 an appeal from the order of District Commission lies to _________.",A,State Commission,State Commission,National Commission,Consumer Tribunal,High Court
118,For an individual to be deemed to be resident in India in any previous year one of the condition is:,D,If he is in India for a period of 360 days or more during the previous year.,If he is in India for a period of 182 days or more during the previous year.,If he is in India for a period of 180 days or more during the previous year.,If he is in India for a period of 181 days or more during the previous year.,If he is in India for a period of 360 days or more during the previous year.
